location,time,vehicle_count
Location_1,2025-04-15 07:00,204
Location_2,2025-04-15 07:00,217
Location_3,2025-04-15 07:00,193
Location_4,2025-04-15 07:00,228
Location_5,2025-04-15 07:00,82
Location_6,2025-04-15 07:00,142
Location_7,2025-04-15 07:00,117
Location_8,2025-04-15 07:00,217
Location_9,2025-04-15 07:00,263
Location_10,2025-04-15 07:00,104
Location_11,2025-04-15 07:00,282
Location_12,2025-04-15 07:00,144
Location_13,2025-04-15 07:00,181
Location_14,2025-04-15 07:00,286
Location_15,2025-04-15 07:00,223
Location_16,2025-04-15 07:00,94
Location_17,2025-04-15 07:00,187
Location_18,2025-04-15 07:00,198
Location_19,2025-04-15 07:00,164
Location_20,2025-04-15 07:00,300
Location_21,2025-04-15 07:00,83
Location_22,2025-04-15 07:00,218
Location_23,2025-04-15 07:00,134
Location_24,2025-04-15 07:00,127
Location_25,2025-04-15 07:00,65
Location_26,2025-04-15 07:00,218
Location_27,2025-04-15 07:00,229
Location_28,2025-04-15 07:00,118
Location_29,2025-04-15 07:00,172
Location_30,2025-04-15 07:00,252
Location_31,2025-04-15 07:00,136
Location_32,2025-04-15 07:00,256
Location_33,2025-04-15 07:00,94
Location_34,2025-04-15 07:00,90
Location_35,2025-04-15 07:00,192
Location_36,2025-04-15 07:00,138
Location_37,2025-04-15 07:00,297
Location_38,2025-04-15 07:00,239
Location_39,2025-04-15 07:00,111
Location_40,2025-04-15 07:00,297
Location_41,2025-04-15 07:00,105
Location_42,2025-04-15 07:00,238
Location_43,2025-04-15 07:00,98
Location_44,2025-04-15 07:00,209
Location_45,2025-04-15 07:00,69
Location_46,2025-04-15 07:00,144
Location_47,2025-04-15 07:00,98
Location_48,2025-04-15 07:00,220
Location_49,2025-04-15 07:00,183
Location_50,2025-04-15 07:00,87
Location_51,2025-04-15 07:00,206
Location_52,2025-04-15 07:00,136
Location_53,2025-04-15 07:00,292
Location_54,2025-04-15 07:00,291
Location_55,2025-04-15 07:00,193
Location_56,2025-04-15 07:00,286
Location_57,2025-04-15 07:00,188
Location_58,2025-04-15 07:00,158
Location_59,2025-04-15 07:00,263
Location_60,2025-04-15 07:00,234
Location_61,2025-04-15 07:00,221
Location_62,2025-04-15 07:00,73
Location_63,2025-04-15 07:00,172
Location_64,2025-04-15 07:00,73
Location_65,2025-04-15 07:00,96
